BODIES
id, mass, x, y, Vx, Vy, moves
0, 1.989000e+30, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1
1, 5.972000e+24, 1.500000e+11, 0.000000e+00, 0.000000e+00, 2.985000e+04, 1
STEPSIZE: 8.640000e+04 sec
MOTION
timestep, id, x, y, Vx, Vy
0, 0, 6.612116e+01, 0.000000e+00, 1.530583e-03, 0.000000e+00
0, 1, 1.499780e+11, 2.579040e+09, -5.097670e+02, 2.985000e+04
1, 0, 2.644748e+02, 1.136857e+00, 3.060936e-03, 2.631614e-05
1, 1, 1.499119e+11, 5.157701e+09, -1.019458e+03, 2.984124e+04
2, 0, 5.950211e+02, 5.684099e+00, 4.590601e-03, 7.894408e-05
2, 1, 1.498018e+11, 7.735227e+09, -1.528919e+03, 2.982371e+04
3, 0, 1.057681e+03, 1.591452e+01, 6.119118e-03, 1.578712e-04
3, 1, 1.496477e+11, 1.031086e+10, -2.037998e+03, 2.979742e+04
4, 0, 1.652335e+03, 3.409947e+01, 7.646029e-03, 2.630767e-04
4, 1, 1.494497e+11, 1.288384e+10, -2.546542e+03, 2.976238e+04
5, 0, 2.378826e+03, 6.250814e+01, 9.170874e-03, 3.945314e-04
5, 1, 1.492077e+11, 1.545342e+10, -3.054399e+03, 2.971860e+04
6, 0, 3.236953e+03, 1.034069e+02, 1.069319e-02, 5.521979e-04
6, 1, 1.489219e+11, 1.801884e+10, -3.561414e+03, 2.966609e+04
7, 0, 4.226481e+03, 1.590583e+02, 1.221253e-02, 7.360305e-04
7, 1, 1.485924e+11, 2.057934e+10, -4.067436e+03, 2.960486e+04
8, 0, 5.347130e+03, 2.317210e+02, 1.372843e-02, 9.459750e-04
8, 1, 1.482191e+11, 2.313418e+10, -4.572311e+03, 2.953494e+04
9, 0, 6.598585e+03, 3.236481e+02, 1.524043e-02, 1.181969e-03
9, 1, 1.478023e+11, 2.568261e+10, -5.075889e+03, 2.945634e+04
10, 0, 7.980487e+03, 4.370875e+02, 1.674807e-02, 1.443942e-03
10, 1, 1.473421e+11, 2.822387e+10, -5.578015e+03, 2.936909e+04
11, 0, 9.492443e+03, 5.742802e+02, 1.825090e-02, 1.731815e-03
11, 1, 1.468385e+11, 3.075721e+10, -6.078540e+03, 2.927321e+04
12, 0, 1.113402e+04, 7.374602e+02, 1.974847e-02, 2.045500e-03
12, 1, 1.462918e+11, 3.328191e+10, -6.577312e+03, 2.916874e+04
13, 0, 1.290473e+04, 9.288535e+02, 2.124032e-02, 2.384902e-03
13, 1, 1.457020e+11, 3.579720e+10, -7.074180e+03, 2.905570e+04
14, 0, 1.480408e+04, 1.150678e+03, 2.272601e-02, 2.749916e-03
14, 1, 1.450694e+11, 3.830236e+10, -7.568994e+03, 2.893413e+04
15, 0, 1.683150e+04, 1.405141e+03, 2.420508e-02, 3.140431e-03
15, 1, 1.443942e+11, 4.079665e+10, -8.061603e+03, 2.880407e+04
16, 0, 1.898641e+04, 1.694441e+03, 2.567708e-02, 3.556326e-03
16, 1, 1.436765e+11, 4.327934e+10, -8.551860e+03, 2.866555e+04
17, 0, 2.126817e+04, 2.020765e+03, 2.714157e-02, 3.997472e-03
17, 1, 1.429165e+11, 4.574970e+10, -9.039616e+03, 2.851863e+04
18, 0, 2.367613e+04, 2.386289e+03, 2.859811e-02, 4.463731e-03
18, 1, 1.421146e+11, 4.820700e+10, -9.524722e+03, 2.836334e+04
19, 0, 2.620957e+04, 2.793176e+03, 3.004625e-02, 4.954960e-03
19, 1, 1.412708e+11, 5.065052e+10, -1.000703e+04, 2.819973e+04
20, 0, 2.886774e+04, 3.243578e+03, 3.148557e-02, 5.471004e-03
20, 1, 1.403855e+11, 5.307955e+10, -1.048640e+04, 2.802786e+04
21, 0, 3.164987e+04, 3.739631e+03, 3.291561e-02, 6.011701e-03
21, 1, 1.394589e+11, 5.549338e+10, -1.096268e+04, 2.784778e+04
22, 0, 3.455514e+04, 4.283457e+03, 3.433595e-02, 6.576883e-03
22, 1, 1.384913e+11, 5.789130e+10, -1.143574e+04, 2.765954e+04
23, 0, 3.758269e+04, 4.877166e+03, 3.574617e-02, 7.166372e-03
23, 1, 1.374829e+11, 6.027260e+10, -1.190541e+04, 2.746321e+04
24, 0, 4.073162e+04, 5.522848e+03, 3.714582e-02, 7.779981e-03
24, 1, 1.364342e+11, 6.263659e+10, -1.237157e+04, 2.725884e+04
25, 0, 4.400101e+04, 6.222580e+03, 3.853449e-02, 8.417519e-03
25, 1, 1.353453e+11, 6.498258e+10, -1.283408e+04, 2.704651e+04
26, 0, 4.738989e+04, 6.978421e+03, 3.991177e-02, 9.078782e-03
26, 1, 1.342166e+11, 6.730989e+10, -1.329278e+04, 2.682627e+04
27, 0, 5.089725e+04, 7.792410e+03, 4.127723e-02, 9.763562e-03
27, 1, 1.330485e+11, 6.961782e+10, -1.374756e+04, 2.659820e+04
28, 0, 5.452206e+04, 8.666571e+03, 4.263046e-02, 1.047164e-02
28, 1, 1.318412e+11, 7.190572e+10, -1.419826e+04, 2.636237e+04
29, 0, 5.826325e+04, 9.602907e+03, 4.397105e-02, 1.120280e-02
29, 1, 1.305952e+11, 7.417291e+10, -1.464475e+04, 2.611886e+04
30, 0, 6.211970e+04, 1.060340e+04, 4.529861e-02, 1.195680e-02
30, 1, 1.293108e+11, 7.641873e+10, -1.508689e+04, 2.586774e+04
31, 0, 6.609027e+04, 1.167002e+04, 4.661273e-02, 1.273340e-02
31, 1, 1.279884e+11, 7.864253e+10, -1.552457e+04, 2.560909e+04
32, 0, 7.017378e+04, 1.280470e+04, 4.791301e-02, 1.353236e-02
32, 1, 1.266283e+11, 8.084366e+10, -1.595763e+04, 2.534299e+04
33, 0, 7.436902e+04, 1.400936e+04, 4.919907e-02, 1.435342e-02
33, 1, 1.252311e+11, 8.302148e+10, -1.638596e+04, 2.506953e+04
34, 0, 7.867475e+04, 1.528591e+04, 5.047052e-02, 1.519633e-02
34, 1, 1.237970e+11, 8.517536e+10, -1.680942e+04, 2.478880e+04
35, 0, 8.308968e+04, 1.663622e+04, 5.172697e-02, 1.606080e-02
35, 1, 1.223266e+11, 8.730468e+10, -1.722789e+04, 2.450088e+04
36, 0, 8.761251e+04, 1.806214e+04, 5.296807e-02, 1.694657e-02
36, 1, 1.208203e+11, 8.940881e+10, -1.764124e+04, 2.420587e+04
37, 0, 9.224188e+04, 1.956550e+04, 5.419342e-02, 1.785335e-02
37, 1, 1.192784e+11, 9.148715e+10, -1.804935e+04, 2.390386e+04
38, 0, 9.697643e+04, 2.114810e+04, 5.540268e-02, 1.878086e-02
38, 1, 1.177016e+11, 9.353910e+10, -1.845210e+04, 2.359495e+04
39, 0, 1.018148e+05, 2.281171e+04, 5.659548e-02, 1.972879e-02
39, 1, 1.160902e+11, 9.556406e+10, -1.884936e+04, 2.327924e+04
40, 0, 1.067554e+05, 2.455810e+04, 5.777146e-02, 2.069685e-02
40, 1, 1.144447e+11, 9.756146e+10, -1.924103e+04, 2.295683e+04
41, 0, 1.117969e+05, 2.638898e+04, 5.893028e-02, 2.168472e-02
41, 1, 1.127656e+11, 9.953072e+10, -1.962698e+04, 2.262781e+04
42, 0, 1.169378e+05, 2.830606e+04, 6.007160e-02, 2.269209e-02
42, 1, 1.110534e+11, 1.014713e+11, -2.000710e+04, 2.229230e+04
43, 0, 1.221765e+05, 3.031100e+04, 6.119508e-02, 2.371863e-02
43, 1, 1.093086e+11, 1.033826e+11, -2.038128e+04, 2.195041e+04
44, 0, 1.275115e+05, 3.240545e+04, 6.230040e-02, 2.476402e-02
44, 1, 1.075317e+11, 1.052640e+11, -2.074941e+04, 2.160224e+04
45, 0, 1.329412e+05, 3.459103e+04, 6.338722e-02, 2.582792e-02
